Fe-DFOB+ phosphate buffer +H2O2 + water, Cycle 1
5/23/2022 3:18:18 PM
Wavelength (nm),Absorbance
536.00,0.014494
535.00,0.015278
534.00,0.015259
533.00,0.015058
532.00,0.015680
531.00,0.016054
530.00,0.016260
529.00,0.016705
528.00,0.017036
527.00,0.017249
526.00,0.017646
525.00,0.017664
524.00,0.017487
523.00,0.018513
522.00,0.018215
521.00,0.018789
520.00,0.019172
519.00,0.019581
518.00,0.020030
517.00,0.019511
516.00,0.020915
515.00,0.021869
514.00,0.021602
513.00,0.021062
512.00,0.021748
511.00,0.022153
510.00,0.022738
509.00,0.022978
508.00,0.024243
507.00,0.023669
506.00,0.023944
505.00,0.023641
504.00,0.024747
503.00,0.025549
502.00,0.025111
501.00,0.026475
500.00,0.026715
499.00,0.026824
498.00,0.027192
497.00,0.027205
496.00,0.027645
495.00,0.027994
494.00,0.028726
493.00,0.029122
492.00,0.029306
491.00,0.029845
490.00,0.029816
489.00,0.030132
488.00,0.031064
487.00,0.031359
486.00,0.032301
485.00,0.031895
484.00,0.032494
483.00,0.032667
482.00,0.033200
481.00,0.033289
480.00,0.033398
479.00,0.034249
478.00,0.035074
477.00,0.035000
476.00,0.035462
475.00,0.035748
474.00,0.036548
473.00,0.036289
472.00,0.036706
471.00,0.036905
470.00,0.037517
469.00,0.037553
468.00,0.038120
467.00,0.038322
466.00,0.038372
465.00,0.039036
464.00,0.039003
463.00,0.039419
462.00,0.039602
461.00,0.040082
460.00,0.040148
459.00,0.040309
458.00,0.040608
457.00,0.040977
456.00,0.041310
455.00,0.041240
454.00,0.041250
453.00,0.041276
452.00,0.042108
451.00,0.042161
450.00,0.042372
449.00,0.042385
448.00,0.042548
447.00,0.042983
446.00,0.042695
445.00,0.043030
444.00,0.043026
443.00,0.043320
442.00,0.043577
441.00,0.043966
440.00,0.043514
439.00,0.043748
438.00,0.043840
437.00,0.044085
436.00,0.044182
435.00,0.043867
434.00,0.044047
433.00,0.044320
432.00,0.044113
431.00,0.044650
430.00,0.044285
429.00,0.044295
428.00,0.043671
427.00,0.044290
426.00,0.044086
425.00,0.044219
424.00,0.044302
423.00,0.044466
422.00,0.044744
421.00,0.044140
420.00,0.044160
419.00,0.044390
418.00,0.045015
417.00,0.044680
416.00,0.043910
415.00,0.044266
414.00,0.044096
413.00,0.044704
412.00,0.043399
411.00,0.043305
410.00,0.044085
409.00,0.043573
408.00,0.043585
407.00,0.043526
406.00,0.043683
405.00,0.043626
404.00,0.043373
403.00,0.043379
402.00,0.042908
401.00,0.042846
400.00,0.043162
399.00,0.042557
398.00,0.042685
397.00,0.042123
396.00,0.041919
395.00,0.041394
394.00,0.042659
393.00,0.040784
392.00,0.041083
391.00,0.040982
390.00,0.041134
389.00,0.040891
388.00,0.039843
387.00,0.040009
386.00,0.040049
385.00,0.039419
384.00,0.039574
383.00,0.038522
382.00,0.039258
381.00,0.037855
380.00,0.038216
379.00,0.037328
378.00,0.036936
377.00,0.037464
376.00,0.037668
375.00,0.036102
374.00,0.035865
373.00,0.035624
372.00,0.036774
371.00,0.035117
370.00,0.034821
369.00,0.035307
368.00,0.034018
367.00,0.033794
366.00,0.034448
365.00,0.034257
364.00,0.034103
363.00,0.033892
362.00,0.032093
361.00,0.032911
360.00,0.032114
359.00,0.033612
358.00,0.033087
357.00,0.031808
356.00,0.032057
355.00,0.031931
354.00,0.031073
353.00,0.030894
352.00,0.031888
351.00,0.032063
350.00,0.031438
349.00,0.031154
